2,128,0.003906
2,256,0.004883
2,512,0.005859
2,1024,0.006104
4,128,0.009766
4,256,0.006836
4,512,0.005859
4,1024,0.005371
8,128,0.003906
8,256,0.007812
8,512,0.009766
8,1024,0.010742
16,128,0.017578
16,256,0.018555
16,512,0.017578
16,1024,0.017334
32,128,0.025391
32,256,0.026367
32,512,0.025391
32,1024,0.027100
64,128,0.058594
64,256,0.060547
64,512,0.062012
64,1024,0.059814
128,128,0.126953
128,256,0.123047
128,512,0.131836
128,1024,0.130371
256,128,0.271484
256,256,0.284180
256,512,0.294922
256,1024,0.290283
512,128,0.640625
512,256,0.631836
512,512,0.633789
512,1024,0.637451
1024,128,0.923828
1024,256,0.938477
1024,512,0.935059
1024,1024,0.935547
2048,128,0.996094
2048,256,1.000000
2048,512,0.998047
2048,1024,0.998779
4096,128,1.000000
4096,256,1.000000
4096,512,1.000000
4096,1024,1.000000
8192,128,1.000000
8192,256,1.000000
8192,512,1.000000
8192,1024,1.000000
16384,128,1.000000
16384,256,1.000000
16384,512,1.000000
16384,1024,1.000000
32768,128,1.000000
32768,256,1.000000
32768,512,1.000000
32768,1024,1.000000
65536,128,1.000000
65536,256,1.000000
65536,512,1.000000
65536,1024,1.000000
131072,128,1.000000
131072,256,1.000000
131072,512,1.000000
131072,1024,1.000000
262144,128,1.000000
262144,256,1.000000
262144,512,1.000000
262144,1024,1.000000
